frame,timestamp_utc,direction,outer,control,logical_length,physical_length,event_class,response_correlation_request_frame,payload_summary
140,2026-08-22T20:56:44.143006Z,OUT,0xa0,0xaf,13,64,FRESH_AF_REQUEST,,FIXED_QUERY_WITH_TS16_REDACTED
142,2026-08-22T20:56:44.144759Z,IN,0xa0,0xae,24,24,FRESH_AE_RESPONSE,140,body16;POV_VALID=false
143,2026-08-22T20:56:44.146639Z,OUT,0xa0,0x36,22,64,FDT36_STAGE_0_REQUEST,,0901||TABLE12_REDACTED
146,2026-08-22T20:56:44.147949Z,IN,0xa0,0xb0,10,10,ACK_0x36_STATUS_01,143,echo=0x36;status=0x01
148,2026-08-22T20:56:44.157664Z,IN,0xa0,0x36,24,24,IRQ_0x0100_TOUCH_0,143,raw_base12=REDACTED;learned_table12=REDACTED
150,2026-08-22T20:56:44.174128Z,OUT,0xa0,0x50,10,64,INTERSTAGE_NAV_0x50_REQUEST,,0100
152,2026-08-22T20:56:44.174713Z,IN,0xa0,0xb0,10,10,ACK_0x50_STATUS_01,150,echo=0x50;status=0x01
154,2026-08-22T20:56:44.192062Z,IN,0xa0,0x50,2417,2417,INTERSTAGE_NAV_0x50_RESPONSE,150,dynamic_nav_redacted;sha256=bc6d6eb3be72832bb8d253657ed269b14709c2b373e447f39486dd5f035e74fd
155,2026-08-22T20:56:44.193051Z,OUT,0xa0,0x36,22,64,FDT36_STAGE_1_REQUEST,,0901||TABLE12_REDACTED
158,2026-08-22T20:56:44.194596Z,IN,0xa0,0xb0,10,10,ACK_0x36_STATUS_01,155,echo=0x36;status=0x01
160,2026-08-22T20:56:44.204117Z,IN,0xa0,0x36,24,24,IRQ_0x0100_TOUCH_0,155,raw_base12=REDACTED;learned_table12=REDACTED
162,2026-08-22T20:56:44.223308Z,OUT,0xa0,0x82,13,64,INTERSTAGE_FDT_DELTA_0x82_REQUEST,,0082000200
164,2026-08-22T20:56:44.224631Z,IN,0xa0,0xb0,10,10,ACK_0x82_STATUS_01,162,echo=0x82;status=0x01
166,2026-08-22T20:56:44.225506Z,IN,0xa0,0x82,10,10,INTERSTAGE_FDT_DELTA_0x82_RESPONSE,162,data=801d
168,2026-08-22T20:56:44.226635Z,OUT,0xa0,0x20,10,64,INTERSTAGE_BASELINE_IMAGE_0x20_REQUEST,,0100
170,2026-08-22T20:56:44.227327Z,IN,0xa0,0xb0,10,10,ACK_0x20_STATUS_01,168,echo=0x20;status=0x01
172,2026-08-22T20:56:44.307928Z,IN,0xb0,,7726,7726,INTERSTAGE_BASELINE_IMAGE_B0_RESPONSE,168,encrypted_dynamic_redacted;sha256=7fa6cc7e2af39643637d0003a41d5297efd12fa42c7d686243dfd4d0e87afc6e
173,2026-08-22T20:56:44.310242Z,OUT,0xa0,0x36,22,64,FDT36_STAGE_2_REQUEST,,0901||TABLE12_REDACTED
176,2026-08-22T20:56:44.332883Z,IN,0xa0,0xb0,10,10,ACK_0x36_STATUS_01,173,echo=0x36;status=0x01
178,2026-08-22T20:56:44.342900Z,IN,0xa0,0x36,24,24,IRQ_0x0100_TOUCH_0,173,raw_base12=REDACTED;learned_table12=REDACTED
179,2026-08-22T20:56:44.346378Z,OUT,0xa0,0x32,24,64,FIRST_POST_BOOTSTRAP_FDT32_REQUEST,,0801||FINAL_TABLE12_REDACTED||TS16_REDACTED
182,2026-08-22T20:56:44.347335Z,IN,0xa0,0xb0,10,10,ACK_0x32_STATUS_01,179,echo=0x32;status=0x01
