classifier,return,gf_update_all_base_result,host_ram_effect,fdt_table_effect,final_0x32_payload_effect,additional_usb_commands,retry_or_rebuild,recovery_command,cache_write_effect,final_0x32_reachable,evidence
NAV,0,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
NAV,1,1_SUCCESS,KEEP_EXISTING_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,NO_UPDATE_FROM_THIS_CLASSIFIER,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
NAV,2,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
NAV,3,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
NAV,negative_or_other,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
IMAGE,0,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
IMAGE,1,1_SUCCESS,KEEP_EXISTING_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,NO_UPDATE_FROM_THIS_CLASSIFIER,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
IMAGE,2,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
IMAGE,3,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
IMAGE,negative_or_other,1_SUCCESS,COPY_ACQUIRED_BASE,NONE,NONE,NONE,NONE_FROM_CLASSIFIER_RETURN,NONE,SETS_SHARED_DIRTY_FLAG,YES,"gf_update_all_base init/result 0x180068b21,0x18006981c,0x180069860; caller success branch 0x18006898a..0x180068abe; classifiers/copies 0x180069377..0x18006952c and 0x180069531..0x180069722; host state 0x180069727..0x180069737; conditional cache call 0x1800697d8..0x1800697e6; independent FDT table global 0x180580818 at 0x180025046/0x1800253e2"
