failure_origin,failure_class,static_function,caller_chain,branch_condition,recovery_action,wire_effect,persistent_effect_risk,target_specificity,dynamic_corroboration,evidence_class,safe_candidate_for_linux,reason
A8,timeout_or_send_failure,GetEvkVersionWithRetry_0x180059d00,InitThread->_DeviceInit->init_MCU->GetEvkVersionWithRetry,"each attempt returns zero; loop index below N_CFG",retry_A8_up_to_N_CFG,"A8 OUT per attempt; ACK 100ms and response 500ms",none_identified,project_independent_entry_with_project_8_caller,"successful A8 only; no failure window",VERIFIED,no,"bounded policy known but implies repeated A8 and runtime N_CFG is unknown"
A8,retry_exhausted,HardResetMcu_0x18000f938,GetEvkVersionWithRetry->HardResetMcu,"N_CFG A8 attempts failed and project equals 8",MCU_software_reset_via_0x18005a33c,"A2 body {02 14}",none_identified,project_8_explicit_branch,no_failure_capture,VERIFIED,no,"target branch is closed but action resets MCU and is not sensor-only"
A8,post_reset_final_failure,GetEvkVersionWithRetry_0x180059d00,GetEvkVersionWithRetry->init_MCU->_DeviceInit->InitThread,"single A8 after MCU reset also returns zero",return_false_then_0xffcffffd_then_outer_DeviceInit_retry,"one final A8; later whole init may emit additional commands",none_identified,project_8_through_closed_reset_branch,no_failure_capture,VERIFIED,no,"nested retry and full init re-entry are not an acceptable minimal Linux recovery"
A8,special_abort,GetEvkVersionWithRetry_0x180059d00,init_MCU->GetEvkVersionWithRetry,"D0Exit/global flag at 0x1805a58ec set after retry exhaustion",return_failure_without_reset_or_final_A8,none,none_identified,generic,no_failure_capture,VERIFIED,no,"lifecycle condition is not established for the target failure history"
E4,generic_send_failure,production_read_mcu_0x18003c7f4,production_process_0x18003c348->wrapper_0x18003cfd8->production_read_mcu,"first generic E4 send returns zero",repeat_same_E4_once,"E4 OUT at 0x18003c94c then optional second E4 at 0x18003c9a1",read_only_command_but_caller_context_unknown,generic_not_closed_to_project_8,"target successful E4 at frames 54/56/58; no failure",VERIFIED,no,"retry is verified for this routine but its edge to project 8 is unresolved"
E4,two_generic_send_failures,production_read_mcu_0x18003c7f4,production_read_mcu->wrapper->production_process,"both immediate E4 sends return zero",return_0xffdffffd_to_wrappers,"two E4 OUT maximum inside this routine",read_only_command_but_outer_policy_unknown,generic_not_closed_to_project_8,no_failure_capture,VERIFIED,no,"exact outer return propagation for the project 8 firmware path is unknown"
E4,project_8_init_failure,gfUpdatefirmware_0x180064a18,init_MCU_project_8_0x18006abec->gfUpdatefirmware->0x1800656f4,"unknown indirect or data-driven E4 failure edge",unknown_may_retry_reset_update_or_bubble,"E4 observed on success; failure wire sequence unknown",high_firmware_clear_erase_update_context,project_8_entry_but_E4_failure_edge_unresolved,"successful A8->E4->A2 only",UNKNOWN,no,"missing exact E4 builder edge branch and return chain is the closure blocker"
OTHER,driver_state_send_failure,SetDriverState_0x18005c724,init_or_TLS_setup->SetDriverState,"first 0x97 send returns zero",retry_0x97_once,"up to two 0x97 OUT",none_identified,generic_with_project_8_HardResetMcu_semantics,"successful 0x97 at frame 40 only",VERIFIED,no,"different command family and no edge from A8 or E4 failure"
OTHER,second_driver_state_send_failure,SetDriverState_0x18005c724,SetDriverState->HardResetMcu,"second 0x97 send returns zero and project is not 4",HardResetMcu_then_return_failure,"project 8 produces A2 body {02 14}",none_identified,project_8_semantics_for_generic_failure,no_failure_capture,VERIFIED,no,"MCU reset is not evidence of pre-D1 A8 or E4 recovery"
OTHER,unspecified_transport_failure,ResetUsbPort_0x180065fc4,broad_dispatcher_0x180063d46->ResetUsbPort,unresolved,stop_pipes_reset_port_start_pipes,host_USB_port_reset_and_pipe_restart,device_state_change_possible,generic_not_linked_to_pre_D1,"D256 observed no reset or re-enumeration in audited lifecycle window",INFERRED,no,"target pre-D1 caller and exact failure condition are not closed"
OTHER,successful_post_E4_sequence,gfresetMCUAndfingerprint_0x180069880,success_path_callsite_0x1800644a1->gfresetMCUAndfingerprint,"reset_mcu false and reset_sensor true",sensor_only_reset,"A2 body {01 14}",none_identified,target_wire_observed_but_not_failure_recovery,"A2 frames 60/62/64 after successful E4 and again 78/80/82",OBSERVED,no,"proves sensor-only semantics and success ordering not pre-A8 failure recovery"
OTHER,D0_or_cancel_lifecycle,D0Entry_D0Exit_or_host_cancel,generic_lifecycle_paths,unresolved,host_cancel_or_lifecycle_transition,"no target recovery OUT proven",unknown,generic,"D256 shows canceled pending IN with zero abort reset reconfiguration or re-enumeration",OBSERVED,no,"observed lifecycle does not establish an A8 or E4 failure branch"
