journal_received_utc	boot_id	monotonic_us	message
2026-09-15T09:39:17.747719+00:00	a18f012133c348f5a6d1d5edeb00a2e5	18206042	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=52 outstanding=0 drained=1 context_closed=1
2026-09-15T09:39:22.465359+00:00	a18f012133c348f5a6d1d5edeb00a2e5	22923682	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=52 outstanding=0 drained=1 context_closed=1
2026-09-15T09:39:26.202392+00:00	a18f012133c348f5a6d1d5edeb00a2e5	26660716	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=52 outstanding=0 drained=1 context_closed=1
2026-09-15T09:39:29.408916+00:00	a18f012133c348f5a6d1d5edeb00a2e5	29867239	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=52 outstanding=0 drained=1 context_closed=1
2026-09-15T09:39:33.717698+00:00	a18f012133c348f5a6d1d5edeb00a2e5	34176022	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=0 first_image=0 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=1 rejected_a0_phase=FDT_IRQ100_1 rejected_a0_control=54 rejected_a0_irq=256 rejected_a0_flags=63 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=0 real_submit=52 outstanding=0 drained=1 context_closed=1
2026-09-15T09:39:40.919690+00:00	a18f012133c348f5a6d1d5edeb00a2e5	41378014	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=75 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:11.674039+00:00	a18f012133c348f5a6d1d5edeb00a2e5	72132364	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=1 single_terminal=1 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=83 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:13.081415+00:00	a18f012133c348f5a6d1d5edeb00a2e5	73539738	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=2 transport_epochs=2 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=1 explicit_verify_reopen=1 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=1 real_submit=75 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:42.216875+00:00	a18f012133c348f5a6d1d5edeb00a2e5	102675198	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=1 single_terminal=1 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=83 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:43.680909+00:00	a18f012133c348f5a6d1d5edeb00a2e5	104139233	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=2 transport_epochs=2 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=1 explicit_verify_reopen=1 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=0 sigfm_baseline_reused=1 real_submit=75 outstanding=0 drained=1 context_closed=1
2026-09-15T09:40:50.726096+00:00	a18f012133c348f5a6d1d5edeb00a2e5	111184420	GOODIX_PRODUCTION_EPOCH_AUDIT action=FPI_DEVICE_ACTION_VERIFY attempts=1 rejected=0 logical_actions=1 transport_epochs=1 identify_enroll_handoffs=0 identify_enroll_armed=0 consumed=1 tls=1 baseline_disturbance=0 baseline_resample=0 baseline_recovery_exhausted=0 baseline_last_phase=NOT_STARTED baseline_last_irq=0 baseline_last_flags=0 capture_entry=1 first_image=1 release_tail=0 single_terminal=0 rearm32=0 rejected_a0=0 rejected_a0_phase=NOT_STARTED rejected_a0_control=0 rejected_a0_irq=0 rejected_a0_flags=0 enroll_stages=0 enroll_rearm32=0 enroll_terminal=0 enroll_contacts=0 enroll_retry_scans=0 secure_retry=0 post_retry=0 reopen=0 explicit_verify_reopen=0 explicit_identify_reopen=0 reset=0 clear_halt=0 persistent=0 sigfm_baseline_pinned=1 sigfm_baseline_reused=0 real_submit=76 outstanding=0 drained=1 context_closed=1
