wire_opcode_family,dispatcher_slot,dispatcher_entry_address,handler_address_or_slot,handler_present_in_app,input_length_checks,payload_fields,reply_path,observed_requests_in_recovered_capture,arbitrary_address_length_interpretation,question_relevant_unresolved
0x0x,0,0x08035e3c jump table / state switch,resident/indirect,resident_unknown,not recoverable without resident body,unresolved family; no host arbitrary-read builder,unknown resident/indirect,10,not found in APP-present handlers,no
0x1x,1,0x08035e3c jump table / state switch,resident/indirect,resident_unknown,not recoverable without resident body,unresolved family; no host arbitrary-read builder,unknown resident/indirect,0,not found in APP-present handlers,no
0x2x,2,0x08035e3c jump table / state switch,0x20006d4c + slot 0,indirect,not recoverable without resident body,mode callback,unknown resident/indirect,3,not found in APP-present handlers,no
0x3x,3,0x08035e3c jump table / state switch,0x20006d4c + slot 8,indirect,not recoverable without resident body,mode callback,unknown resident/indirect,7,not found in APP-present handlers,no
0x4x,4,0x08035e3c jump table / state switch,0x20006d4c + slot 12,indirect,not recoverable without resident body,mode callback,unknown resident/indirect,0,not found in APP-present handlers,no
0x5x,5,0x08035e3c jump table / state switch,0x20006d4c + slot 4,indirect,not recoverable without resident body,mode callback,unknown resident/indirect,2,not found in APP-present handlers,no
0x6x,6,0x08035e3c jump table / state switch,0x20006d4c + slot 20,indirect,not recoverable without resident body,mode callback,unknown resident/indirect,0,not found in APP-present handlers,no
0x7x,7,0x08035e3c jump table / state switch,0x20006d4c + slot 16 -> 0x0802b8f5,resident_unknown,not recoverable without resident body,0x70 semantics unavailable below APP start,unknown resident/indirect,1,not found in APP-present handlers,"resident body absent, but no matching host arbitrary-read builder/request"
0x8x,8,0x08035e3c jump table / state switch,0x0803356c,yes,family/subtype-specific bounded parser,0x80/0x82 register family; LE16 register fields,0x08032f94 typed A0 reply or family callback,6,not found in APP-present handlers,no
0x9x,9,0x08035e3c jump table / state switch,0x080367d4,yes,family/subtype-specific bounded parser,0x90/0x92/0x96/0x98/0x9a config/state family,0x08032f94 typed A0 reply or family callback,2,not found in APP-present handlers,no
0xax,10,0x08035e3c jump table / state switch,0x08033188,yes,family/subtype-specific bounded parser,A-family switch; A2 subtype 2 -> 0x080272e1 resident; A6/A8 bounded,0x08032f94 typed A0 reply or family callback,10,not found in APP-present handlers,"resident body absent, but no matching host arbitrary-read builder/request"
0xbx,11,0x08035e3c jump table / state switch,default,yes,family/subtype-specific bounded parser,no separate handler in 16-way dispatcher,0x08032f94 typed A0 reply or family callback,0,not found in APP-present handlers,no
0xcx,12,0x08035e3c jump table / state switch,default,yes,family/subtype-specific bounded parser,no separate handler in 16-way dispatcher,0x08032f94 typed A0 reply or family callback,0,not found in APP-present handlers,no
0xdx,13,0x08035e3c jump table / state switch,0x080396b0,yes,family/subtype-specific bounded parser,D-family TLS/state handling,0x08032f94 typed A0 reply or family callback,6,not found in APP-present handlers,no
0xex,14,0x08035e3c jump table / state switch,0x08033b3c,yes,family/subtype-specific bounded parser,E-family production selector protocols,0x08032f94 typed A0 reply or family callback,1,not found in APP-present handlers,no
0xfx,15,0x08035e3c jump table / state switch,0x08033c4c,yes,family/subtype-specific bounded parser,F-family firmware update/check handling,0x08032f94 typed A0 reply or family callback,0,not found in APP-present handlers,no
