function_address,callsite,callers_or_enclosing_role,transport_builder,opcode_control,arguments,payload_construction,constants,response_size,consumer,observed_in_recovered_capture,arbitrary_read_dataflow,static_evidence
0x18001c190,0x18001c1ed,E6 state command,A0_generic,0xe6,r8=0xe;r9=0x3;rcx=0x2;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0xffffffff"",""rsp+0x70"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 25807; builder A0_generic
0x18001c1f8,0x18001c255,D8 state command,A0_generic,0xd8,r8=0xd;r9=0x4;rcx=0x2;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 25833; builder A0_generic
0x18001c260,0x18001c2bd,D2 state command,A0_generic,0xd2,r8=0xd;r9=0x1;rcx=0x2;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 25859; builder A0_generic
0x18001c2c8,0x18001c3c8,SendSPICommunicationTestPackage,A0_generic,0x9a,r8=0x9;r9=0x5;rcx=dynamic;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1d9"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0xa""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 25915; builder A0_generic
0x18001c46c,0x18001c4cd,D4 state command,A0_generic,0xd4,r8=0xd;r9=0x2;rcx=0x2;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x1e2"",""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0xffffffff""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 25974; builder A0_generic
0x18001c534,0x18001c6b2,TLSServerInit,A0_generic,0xd0,r8=0xd;r9=0x0;rcx=0x9;rdx=0x4,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x21f"",""rsp+0x28"":""0x2"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x0"",""rsp+0x40"":""0xc8"",""rsp+0x48"":""0xffffffff"",""rsp+0x54"":""0x0""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 26080; builder A0_generic
0x180024c90,0x180024f1c,ChicagoHUSetMode,A0_generic,dynamic,r8=0x2;r9=dynamic;rcx=dynamic;rdx=dynamic,fixed constants and/or caller-bounded command data,"{""rsp+0x30"":""0x1"",""rsp+0x40"":""0x1f4"",""rsp+0x48"":""0x1"",""rsp+0x50"":""0x2"",""rsp+0x78"":""0xc8"",""rsp+0x90"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 33864; builder A0_generic
0x180024c90,0x1800255f0,ChicagoHUSetMode,A0_generic,dynamic,r8=0x3;r9=dynamic;rcx=0x1;rdx=0x8,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x27f"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34230; builder A0_generic
0x180024c90,0x180025705,ChicagoHUSetMode,A0_generic,0x70,r8=0x7;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x28a"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0xc8"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0x98"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,yes,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34289; builder A0_generic
0x180024c90,0x1800257d7,ChicagoHUSetMode,A0_generic,0x60,r8=0x6;r9=0x0;rcx=dynamic;rdx=0x7,fixed constants and/or caller-bounded command data,"{""rsp+0x20"":""0x294"",""rsp+0x28"":""0x0"",""rsp+0x30"":""0x1"",""rsp+0x38"":""0x64"",""rsp+0x40"":""0x0"",""rsp+0x48"":""0xffffffff"",""rsp+0x50"":""0x2"",""rsp+0xa0"":""0x1""}",operation-specific bounded output; no length-proportional arbitrary memory response,ACK or typed operation response,no,no host-controlled 32-bit MCU address proven,gfusb disassembly line 34335; builder A0_generic
