capture_id,order,packet_index_zero_based,outer_type,wire_control_opcode,logical_pre_or_control_if_proven,payload_length,payload_shape,candidate_address_fields,candidate_length_fields,preceding_mode_state,following_response,repetition_count_in_capture,memory_read_candidate
recovered-rilevamento-sha256-50071c0f,1,25,0xa0,0x01,0x00 for bounded no-ack form,4,A0 inner=5 payload=4; bounded prefix=0000000088,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 33: A0 0xb0 len=10,10,no
recovered-rilevamento-sha256-50071c0f,2,27,0xa0,0xd5,0xd4 (builder-proven),2,A0 inner=3 payload=2; bounded prefix=0000d3,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 33: A0 0xb0 len=10,4,no
recovered-rilevamento-sha256-50071c0f,3,29,0xa0,0x01,0x00 for bounded no-ack form,4,A0 inner=5 payload=4; bounded prefix=0000000088,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 33: A0 0xb0 len=10,10,no
recovered-rilevamento-sha256-50071c0f,4,31,0xa0,0xa8,0xa8,2,A0 inner=3 payload=2; bounded prefix=0000ff,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 33: A0 0xb0 len=10,2,no
recovered-rilevamento-sha256-50071c0f,5,36,0xa0,0x01,0x00 for bounded no-ack form,4,A0 inner=5 payload=4; bounded prefix=0000000088,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 43: A0 0xae len=24,10,no
recovered-rilevamento-sha256-50071c0f,6,39,0xa0,0x97,0x96 (builder-proven),2,A0 inner=3 payload=2; bounded prefix=01020e,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 43: A0 0xae len=24,1,no
recovered-rilevamento-sha256-50071c0f,7,41,0xa0,0xaf,0xae (builder-proven),5,A0 inner=6 payload=5; bounded prefix=55d565000067,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 43: A0 0xae len=24,5,no
recovered-rilevamento-sha256-50071c0f,8,44,0xa0,0x01,0x00 for bounded no-ack form,4,A0 inner=5 payload=4; bounded prefix=0000000088,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 49: A0 0xb0 len=10,10,no
recovered-rilevamento-sha256-50071c0f,9,47,0xa0,0xa8,0xa8,2,A0 inner=3 payload=2; bounded prefix=0000ff,none,outer LE16 + inner LE16; no proven host memory-read length,enumeration/initial queries,packet 49: A0 0xb0 len=10,2,no
recovered-rilevamento-sha256-50071c0f,10,53,0xa0,0xe4,0xe4,8,A0 inner=9 payload=8; bounded prefix=030002bb00000000fd,none,outer LE16 + inner LE16; no proven host memory-read length,normal APP cold-start pre-D1,packet 55: A0 0xb0 len=10,1,no
