source,message,record_version,record_payload_length,handshake_length,protocol_version,session_id_length,cipher_suite_count,cipher_suites_or_selected,compression,extension_types_and_lengths,evidence_class,assessment
D43,ClientHello,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,UNKNOWN,primary capture absent
D175,ClientHello,0x0303,47,43,0x0303,0,2,0x00a8|0x00ff,0x00,none,VERIFIED_PRIMARY_CAPTURE,canonical historical offer
D241_live,ClientHello,0x0303,47,not_logged,not_logged,not_logged,not_logged,not_logged,not_logged,not_logged,OBSERVED_LIVE_D241,record/type/length match; fields not logged remain unknown
D43,ServerHello,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,UNKNOWN,primary capture absent
D175,ServerHello,0x0303,81,77,0x0303,32,1,0x00a8,0x00,0xff01:1,VERIFIED_PRIMARY_CAPTURE,canonical historical selection
D241_live,ServerHello,0x0303,81,not_logged,0x0303,not_logged,1,0x00a8,not_logged,not_logged,OBSERVED_LIVE_D241 + VERIFIED_OFFLINE,wire length matches; OpenSSL configuration/fixture reproduces remaining structure
D43,ServerHelloDone,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,NOT_ASSESSABLE,UNKNOWN,primary capture absent
D175,ServerHelloDone,0x0303,4,0,NA,NA,NA,NA,NA,none,VERIFIED_PRIMARY_CAPTURE,one record
D241_live,ServerHelloDone,0x0303,4,not_logged,NA,NA,NA,NA,NA,not_logged,OBSERVED_LIVE_D241,structural length match
D175,ClientKeyExchange,0x0303,21,17,NA,NA,NA,NA,NA,identity_length=15;identity=Client_identity,VERIFIED_PRIMARY_CAPTURE,first post-flight device record
D241_live,ClientKeyExchange,not_observed,not_observed,not_observed,NA,NA,NA,NA,NA,not_observed,OBSERVED_LIVE_D241,absent until timeout

