frame,packet_index_zero_based,timestamp_utc,relative_ms,usb_bus,usb_device,usbpcap_function_numeric,function_semantic_class,status,status_semantic,transfer_type,endpoint,direction,usbpcap_info,urb_stage,data_length,wrapper,a0_control,marker_operator_phase,interpretation,evidence_class
11,10,2026-08-22T20:56:43.546254Z,0.000,1,2,0x000b,GET_DESCRIPTOR_FROM_DEVICE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,get_descriptor_from_device,OBSERVED
12,11,2026-08-22T20:56:43.546637Z,0.383,1,2,0x0008,CONTROL_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x01,COMPLETION,18,none,,VM_USB_ATTACH_BEGIN,control_transfer,OBSERVED
13,12,2026-08-22T20:56:43.546684Z,0.430,1,2,0x000b,GET_DESCRIPTOR_FROM_DEVICE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,get_descriptor_from_device,OBSERVED
14,13,2026-08-22T20:56:43.546940Z,0.686,1,2,0x0008,CONTROL_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x01,COMPLETION,9,none,,VM_USB_ATTACH_BEGIN,control_transfer,OBSERVED
15,14,2026-08-22T20:56:43.546979Z,0.725,1,2,0x000b,GET_DESCRIPTOR_FROM_DEVICE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,get_descriptor_from_device,OBSERVED
16,15,2026-08-22T20:56:43.547238Z,0.984,1,2,0x0008,CONTROL_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x01,COMPLETION,67,none,,VM_USB_ATTACH_BEGIN,control_transfer,OBSERVED
17,16,2026-08-22T20:56:43.547276Z,1.022,1,2,0x0013,GET_STATUS_FROM_DEVICE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,get_status_from_device,OBSERVED
18,17,2026-08-22T20:56:43.547468Z,1.214,1,2,0x0008,CONTROL_TRANSFER,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x80,DEVICE_TO_HOST,0x01,COMPLETION,2,none,,VM_USB_ATTACH_BEGIN,control_transfer,OBSERVED
19,18,2026-08-22T20:56:43.547705Z,1.451,1,2,0x0000,SELECT_CONFIGURATION,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x00,HOST_TO_DEVICE,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,select_configuration,OBSERVED
20,19,2026-08-22T20:56:43.548013Z,1.759,1,2,0x0000,SELECT_CONFIGURATION,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x00,DEVICE_TO_HOST,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,select_configuration with no captured data,OBSERVED
21,20,2026-08-22T20:56:43.548016Z,1.762,1,2,0x0001,SELECT_INTERFACE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x00,HOST_TO_DEVICE,0x00,SUBMISSION,8,none,,VM_USB_ATTACH_BEGIN,select_interface,OBSERVED
22,21,2026-08-22T20:56:43.548148Z,1.894,1,2,0x0001,SELECT_INTERFACE,0x00000000,USBD_STATUS_SUCCESS,2:CONTROL,0x00,DEVICE_TO_HOST,0x01,COMPLETION,0,none,,VM_USB_ATTACH_BEGIN,select_interface with no captured data,OBSERVED
