edge_id,source_va,target_va,edge_kind,project_condition,assignment_site,slot_or_table,branch_condition,success_or_failure,return_value,wire_effect,persistent_effect_risk,evidence_class,notes
E001,0x18006abec,0x18006abf5,CONDITIONAL_BRANCH,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,project_selector_equals_8,NEUTRAL,N/A,NONE,false,VERIFIED,Select target project branch
E002,0x18006ac4c,0x180064a18,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,embedded_firmware_path,NEUTRAL,N/A,NONE,true,VERIFIED,Call gfUpdatefirmware before E4
E003,0x180064b39,0x1800656f4,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,update_state_equals_1,NEUTRAL,N/A,NONE,true,VERIFIED,Conditional inner updater and ClearApp path
E004,0x18006ad78,0x18006adc0,CONDITIONAL_BRANCH,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,gfUpdatefirmware_nonzero_and_not_0xffdffff3,SUCCESS,N/A,NONE,false,VERIFIED,Post-return continuation omitted by D278/07 graph
E005,0x18006ae04,0x18003c348,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,post_gfUpdatefirmware_gate,SUCCESS,N/A,NONE,false,VERIFIED,Call production process
E006,0x18003c499,0x18003b514,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,psk_check_index_less_than_2,NEUTRAL,N/A,NONE,false,VERIFIED,Call production_check_psk_is_valid
E007,0x18003b77b,0x18003b780,DATA_FLOW,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,literal_0xbb020003_loaded,NEUTRAL,0xbb020003,NONE,false,VERIFIED,Specific-data selector feeds reader call
E008,0x18003b780,0x18003cc90,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,specific_data_read,NEUTRAL,N/A,NONE,false,VERIFIED,Call production_read_specific_data
E009,0x18003ce0c,0x18003c7f4,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,specific_data_parameters_valid,NEUTRAL,N/A,NONE,false,VERIFIED,Call production_read_mcu
E010,0x18003c94c,0x18005c148,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,first_send,NEUTRAL,N/A,E4_OUT,false,VERIFIED,r8_0x0e_r9_0x02_body_len_8_ack_500ms_typed_1000ms
E011,0x18003c9a1,0x18005c148,DIRECT_CALL,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,first_generic_send_returns_zero,FAILURE,N/A,E4_OUT,false,VERIFIED,Exactly one immediate E4 retry
E012,0x18003c9ed,0x18003cc90,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,second_generic_send_returns_zero,FAILURE,0xffdffffd,NONE,false,VERIFIED,Transport failure bubbles to specific-data wrapper
E013,0x18003cb28,0x18003cc90,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,typed_shape_or_length_invalid,FAILURE,0xffeffffa,NONE,false,VERIFIED,Representative typed validation failure
E014,0x18003cb9d,0x18003cc90,RETURN_PROPAGATION,project==8,N/A_DIRECT_CALL,N/A_DIRECT_CALL,typed_execution_status_nonzero,FAILURE,0xffdffffc,NONE,false,VERIFIED,Typed status failure
