source	phase	control	irq	flags
D279_10_ATTEMPT02	bootstrap_fdt_manual	0x36	0x0100	0x0000
D279_10_ATTEMPT02	bootstrap_fdt_manual	0x36	0x0100	0x0000
D279_10_ATTEMPT02	bootstrap_fdt_manual	0x36	0x0100	0x0000
D279_10_ATTEMPT02	first_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	first_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	repeated_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	repeated_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	repeated_cycle_finger_up	0x34	0x0200	0x0000
D279_10_ATTEMPT02	terminal_cycle_finger_down	0x32	0x0002	0x003f
D279_10_ATTEMPT02	terminal_cycle_contact_sample	0x36	0x0100	0x003f
D279_10_ATTEMPT02	terminal_cycle_finger_up	0x34	0x0200	0x0000
D279_57_LIVE_4DE9C34	rearm_finger_down	0x32	0x0002	0x002f
