timestamp_utc	event	detail
2026-08-22T20:56:31.9228483Z	CLOCK_ANCHOR	local offset and Windows timezone recorded
2026-08-22T20:56:31.9268616Z	VM_GUEST_READY	VM already running; target absent from guest
2026-08-22T20:56:32.1480232Z	GUEST_TOPOLOGY_BEFORE	read-only PnP snapshot; 27c6:5125 absent
2026-08-22T20:56:32.3830221Z	ACCOUNT_PREREQUISITES_CHECKED	Sign-in options accessible; PIN state=ALREADY_CONFIGURED; no PIN change
2026-08-22T20:56:32.4676180Z	AUTHORIZATION_CONSUMED	one run only; pre-hardware setup complete
2026-08-22T20:56:34.6998623Z	CAPTURE_PROCESS_STARTED	TShark process active; target absent; pcapng materialization and frames not asserted
2026-08-22T20:56:34.7018891Z	CAPTURE_STARTED	compatibility marker: TShark process active before attach; pcapng existence/nonempty state not asserted
2026-08-22T20:56:34.7220147Z	VM_USB_ATTACH_BEGIN	single operator GUI action follows
2026-08-22T20:56:49.5996841Z	VM_USB_ATTACH_END	
2026-08-22T20:56:49.9558901Z	GUEST_27C6_5125_PRESENT	USB\VID_27C6&PID_5125\00000000001A
2026-08-22T20:57:11.4231571Z	CAPTURE_OUTPUT_MATERIALIZED	pcapng exists after attach; nonempty/readable validation remains final
2026-08-22T20:57:11.4251687Z	PASSIVE_BOOTSTRAP_SETTLED	operator-observed passive settle; A8 proof remains wire-derived
2026-08-22T20:57:11.4490921Z	HELLO_SETUP_UI_CHECK_BEGIN	post-attach sensor-dependent UI check
2026-08-22T20:57:37.6058029Z	HELLO_SETUP_UI_READY	READY_WAITING_FOR_FINGER
2026-08-22T20:57:37.6078090Z	OEM_SESSION_BEGIN	OEM_UI_PATH=WINDOWS_HELLO_SETUP_NO_FINGER
2026-08-22T20:57:37.6296630Z	OEM_WAITING_NO_FINGER	operator UI observation; zero finger
2026-08-22T20:57:37.6414474Z	CANCEL_NO_FINGER_BEGIN	
2026-08-22T20:57:49.7206408Z	CANCEL_NO_FINGER_END	
2026-08-22T20:57:49.7206408Z	REENTRY_BEGIN	
2026-08-22T20:58:11.3872257Z	REENTRY_WAITING_NO_FINGER	operator UI observation; zero finger
2026-08-22T20:58:11.3872257Z	REENTRY_CANCEL_BEGIN	
2026-08-22T20:58:18.5577106Z	REENTRY_CANCEL_END	
2026-08-22T20:58:18.5597173Z	REENTRY_END	
2026-08-22T20:58:18.5756006Z	OPERATOR_PHASES_COMPLETE	
2026-08-22T21:06:37.2436523Z	RUN_FAILED	D255_FAIL_CLOSED: capture process failed at the duration boundary; process_state=EXITED; exit_code=; command_arguments=tshark <configured-executable> -i <configured-interface>x1 -a duration:600 -q -w <capture-output>; output_path_state=exists=true,length=27684; stdout=UNAVAILABLE; stderr=Capturing on 'USBPcap1' 218 packets captured
