path	upstream_version	sha256	license_notice	copyright_notice	destination	modification
data/interfaces/org.freedesktop.DisplayManager.Seat.xml	6.7.5-1.fc44	afcf21041bdfd06ebf0632a60fb31484747731a5b48aec3288a2f7eea837a9ac	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.DisplayManager.Session.xml	6.7.5-1.fc44	d29b0eb4f7d94bddf12fe0b7f2cb5f0cdf018836d240feb3d9339805ea835eca	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.DisplayManager.xml	6.7.5-1.fc44	a5958f2aa0f9c1fb09976b6c5469dea9a1d8cfa921ae4b474eb3b5dc4b987cb4	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.login1.Manager.xml	6.7.5-1.fc44	05ca7d444bebad835114b73de92397439e08ab915b0ccc44f111bfb08da708ec	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.login1.Seat.xml	6.7.5-1.fc44	2826c99e8d2fbe2968372eb848f00e1185769d05ad3a60474efb2acc4aebca38	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.login1.Session.xml	6.7.5-1.fc44	50b3799b0500163d5cb0922cf1c1c63120213d0c4c3da277502125f56c241c2e	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
data/interfaces/org.freedesktop.login1.User.xml	6.7.5-1.fc44	c5c2deff26d9c6abaa3aa6e24dc801dec4dfd0576818759cf4730d3e4c9625ec	NOASSERTION (retained upstream/package input)	See retained upstream file	daemon build or retained corresponding input	unchanged
src/auth/Auth.cpp	6.7.5-1.fc44	4afee0e5d0f8363240836012343266b2fe0f1917bf274c23e93c889bd7dc3fa4	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/auth/Auth.h	6.7.5-1.fc44	0d652b79bff61d6951789dde9f269e831c19ae05378ac835f26ec7c356f82f5d	LGPL-2.1-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
src/auth/AuthMessages.h	6.7.5-1.fc44	3f904869a900aa1a8487ab92273282126dba4b02c156eff992c673962428e2ea	GPL-2.0-or-later	2013 Martin Bříza <mbriza@redhat.com>	daemon build or retained corresponding input	unchanged
